Depth sed [m]	Depth corr [m]	Age [ka BP]	G. bulloides [%]	G. inflata [%]	T. truncatulinoides [%]	G. siphonifera [%]	G. ruber [%]	G. rubescens [%]	G. tenella [%]	N. incompta [%]	N. pachyderma s [%]	T. quinqueloba d [%]	T. quinqueloba s [%]	G. glutinata [%]	G. scitula [%]	G. hirsuta [%]	O. universa [%]	T. crassaformis [%]	G. adamsi [%]	G. calida [%]	G. sacculifer [%]	G. digitata [%]	G. trilobus [%]	G. conglobatus [%]	Foram plankt indet [%]	T. quinqueloba [%]	Foram plankt tropical [%]	Foram plankt subpolar [%]	Foram plankt [#]
0.750	0.76	5.67	24.36	26.92	6.73	0.48	9.78	0.00	0.32	19.39	0.64	0.64	1.28	5.61	2.72	0.48	0.64	0	0.00	0	0	0.00	0	0	0	1.92	0.32	2.56	624
0.760	0.77	5.75	25.45	30.00	4.85	0.91	10.15	0.00	0.30	18.03	0.30	0.91	1.36	4.24	1.97	0.15	1.21	0	0.00	0	0	0.15	0	0	0	2.27	0.30	2.58	660
0.770	0.78	5.83	23.62	25.90	6.84	0.49	10.10	0.00	0.16	19.54	0.98	0.98	0.98	6.68	1.63	0.33	1.79	0	0.00	0	0	0.00	0	0	0	1.95	0.16	2.93	614
0.780	0.79	5.90	24.56	25.78	5.18	0.68	9.96	0.41	0.27	20.74	0.27	1.77	1.09	6.28	1.77	0.82	0.27	0	0.00	0	0	0.14	0	0	0	2.86	0.68	3.14	733
0.790	0.80	5.98	30.71	22.99	4.11	0.33	8.05	0.33	0.82	18.56	0.49	0.82	1.48	7.39	2.13	0.33	1.48	0	0.00	0	0	0.00	0	0	0	2.30	1.15	2.79	609
0.800	0.81	6.06	26.96	21.65	6.84	0.42	7.82	0.00	0.98	17.74	0.42	2.79	2.93	6.01	3.91	0.14	1.40	0	0.00	0	0	0.00	0	0	0	5.73	0.98	6.15	716
0.810	0.82	6.13	29.20	23.39	5.81	0.31	9.58	0.00	0.31	16.17	0.31	1.73	2.20	5.97	3.77	0.16	1.10	0	0.00	0	0	0.00	0	0	0	3.92	0.31	4.24	637
0.820	0.83	6.21	31.46	24.32	5.02	0.76	11.70	0.00	0.15	13.68	0.30	1.52	1.98	5.47	1.98	0.46	0.91	0	0.00	0	0	0.30	0	0	0	3.50	0.15	3.80	658
0.830	0.84	6.29	35.21	22.28	7.12	0.94	8.80	0.00	0.00	11.99	0.75	1.31	1.12	5.06	2.81	0.94	1.69	0	0.00	0	0	0.00	0	0	0	2.43	0.00	3.18	534
0.840	0.85	6.36	32.91	21.76	6.58	0.00	8.04	0.18	0.18	16.45	0.73	1.65	2.19	3.47	4.39	1.10	0.37	0	0.00	0	0	0.00	0	0	0	3.84	0.37	4.57	547
0.850	0.86	6.44	35.59	22.03	6.78	0.52	8.74	0.26	0.26	14.08	0.26	0.91	1.04	5.61	1.69	1.30	0.91	0	0.00	0	0	0.00	0	0	0	1.96	0.52	2.22	767
0.860	0.87	6.52	33.75	23.85	5.83	0.18	8.48	0.18	0.53	16.08	0.00	1.24	1.41	5.30	1.41	0.88	0.88	0	0.00	0	0	0.00	0	0	0	2.65	0.71	2.65	566
0.870	0.88	6.59	25.21	24.05	8.79	0.83	7.63	0.00	0.17	15.42	1.16	2.49	1.33	6.97	3.81	1.00	1.16	0	0.00	0	0	0.00	0	0	0	3.81	0.17	4.98	603
0.880	0.89	6.67	26.04	28.53	5.82	0.28	8.86	0.00	0.42	14.40	0.14	2.49	1.66	5.40	2.91	0.42	2.35	0	0.00	0	0	0.28	0	0	0	4.16	0.42	4.29	722
0.890	0.90	6.75	29.64	27.32	6.61	0.89	10.00	0.00	0.18	13.93	0.00	1.61	1.25	3.57	1.79	0.54	2.50	0	0.00	0	0	0.18	0	0	0	2.86	0.18	2.86	560
0.900	0.91	6.79	30.99	31.73	9.21	0.29	6.43	0.00	0.15	13.30	0.15	0.29	0.88	1.90	1.90	0.88	1.90	0	0.00	0	0	0.00	0	0	0	1.17	0.15	1.32	684
0.910	0.92	6.80	35.67	18.08	4.56	0.16	6.35	0.00	0.65	17.26	0.98	1.79	2.28	7.17	3.58	0.16	1.30	0	0.00	0	0	0.00	0	0	0	4.07	0.65	5.05	614
0.920	0.93	6.81	36.61	22.03	5.07	1.11	7.29	0.00	0.63	16.48	0.32	0.63	1.58	4.60	1.74	0.48	1.27	0	0.00	0	0	0.16	0	0	0	2.22	0.63	2.54	631
0.930	0.94	6.82	30.37	29.19	10.40	1.17	7.55	0.00	0.34	11.41	0.17	0.84	0.84	2.68	2.18	0.67	2.18	0	0.00	0	0	0.00	0	0	0	1.68	0.34	1.85	596
0.940	0.95	6.83	30.12	26.27	6.88	0.41	7.57	0.41	0.28	15.13	0.41	1.38	1.24	6.74	2.06	0.00	1.10	0	0.00	0	0	0.00	0	0	0	2.61	0.69	3.03	727
0.950	0.96	6.85	33.16	25.13	6.67	0.68	10.26	0.00	0.00	12.99	0.51	1.54	1.03	3.25	2.05	0.51	2.22	0	0.00	0	0	0.00	0	0	0	2.56	0.00	3.08	585
0.960	0.97	6.93	40.06	19.57	6.57	0.15	9.63	0.15	0.15	14.22	0.31	0.61	0.61	4.59	1.83	0.61	0.92	0	0.00	0	0	0.00	0	0	0	1.22	0.31	1.53	654
0.970	0.98	7.08	37.70	20.82	7.26	0.32	8.99	0.00	0.47	12.30	0.79	2.52	2.05	3.15	2.52	0.16	0.95	0	0.00	0	0	0.00	0	0	0	4.57	0.47	5.36	634
0.980	0.99	7.23	39.02	22.32	6.10	0.12	9.27	0.12	0.24	13.05	0.24	1.10	2.07	3.17	1.46	0.49	1.22	0	0.00	0	0	0.00	0	0	0	3.17	0.37	3.41	820
0.990	1.00	7.38	35.78	21.12	7.50	0.17	9.08	0.00	0.52	10.82	0.35	1.75	1.75	7.50	2.44	0.17	0.87	0	0.00	0	0	0.17	0	0	0	3.49	0.52	3.84	573
1.000	1.01	7.46	37.48	24.88	7.40	0.31	10.39	0.16	0.00	10.24	0.16	0.47	1.26	2.36	2.83	0.63	1.42	0	0.00	0	0	0.00	0	0	0	1.73	0.16	1.89	635
1.010	1.02	7.62	38.78	21.18	7.18	0.18	10.05	0.00	0.00	13.29	0.72	1.62	1.97	1.08	1.80	1.08	1.08	0	0.00	0	0	0.00	0	0	0	3.59	0.00	4.31	557
1.020	1.03	7.88	36.66	22.21	7.36	0.13	12.35	0.13	0.26	12.09	0.26	0.79	0.92	2.89	1.58	0.39	1.71	0	0.00	0	0	0.26	0	0	0	1.71	0.39	1.97	761
1.030	1.04	8.03	31.80	28.36	6.72	0.49	10.82	0.00	0.33	11.15	0.16	1.15	0.82	2.13	1.97	0.49	3.61	0	0.00	0	0	0.00	0	0	0	1.97	0.33	2.13	610
1.040	1.05	8.06	29.11	35.75	6.94	0.15	7.54	0.00	0.15	11.01	0.15	0.30	0.15	2.56	1.81	0.15	4.22	0	0.00	0	0	0.00	0	0	0	0.45	0.15	0.60	663
1.050	1.06	8.09	28.74	28.91	8.67	0.34	6.97	0.00	0.00	9.86	0.34	0.85	1.02	3.74	1.36	0.17	9.01	0	0.00	0	0	0.00	0	0	0	1.87	0.00	2.21	588
1.060	1.07	8.12	34.26	20.83	4.94	0.15	12.19	0.00	0.00	14.66	0.46	1.08	2.16	5.56	2.16	0.46	0.93	0	0.00	0	0	0.15	0	0	0	3.24	0.00	3.70	648
1.070	1.08	8.15	32.94	20.23	8.03	0.33	13.21	0.00	0.00	12.37	0.33	1.17	1.34	4.52	3.01	0.00	2.51	0	0.00	0	0	0.00	0	0	0	2.51	0.00	2.84	598
1.080	1.09	8.18	34.94	19.13	7.15	0.17	13.81	0.00	0.17	12.81	0.50	1.00	1.83	5.32	2.33	0.33	0.50	0	0.00	0	0	0.00	0	0	0	2.83	0.17	3.33	601
1.090	1.10	8.22	32.24	22.99	7.21	0.14	14.97	0.00	0.14	12.93	0.27	0.95	0.82	4.22	1.09	0.41	1.63	0	0.00	0	0	0.00	0	0	0	1.77	0.14	2.04	735
1.100	1.11	8.26	28.99	23.26	8.37	0.31	15.66	0.00	0.00	14.57	0.16	0.47	1.71	3.41	1.24	0.78	1.09	0	0.00	0	0	0.00	0	0	0	2.17	0.00	2.33	645
1.110	1.12	8.30	29.28	20.64	6.30	0.44	12.88	0.00	0.00	18.59	0.59	1.17	1.90	5.71	1.46	0.29	0.59	0	0.00	0	0	0.15	0	0	0	3.07		3.66	683
1.120	1.13	8.33	26.85	20.55	7.40	0.55	15.07	0.14	0.00	16.85	0.41	1.78	1.78	4.66	2.74	0.14	1.10	0	0.00	0	0	0.00	0	0	0	3.56	0.14	3.97	730
1.130	1.14	8.37	26.58	19.09	8.96	0.44	13.80	0.00	0.15	16.74	1.03	2.06	1.32	5.87	2.50	0.00	1.17	0	0.00	0	0	0.29	0	0	0	3.38	0.15	4.41	681
1.140	1.15	8.41	28.33	25.57	7.35	0.31	16.39	0.00	0.00	15.01	0.31	0.61	0.46	2.45	1.84	0.31	1.07	0	0.00	0	0	0.00	0	0	0	1.07	0.00	1.38	653
1.150	1.16	8.45	27.81	21.57	15.15	0.53	14.08	0.00	0.00	13.73	0.18	0.18	0.36	2.50	1.25	0.36	2.32	0	0.00	0	0	0.00	0	0	0	0.53	0.00	0.71	561
1.160	1.17	8.49	26.32	28.25	11.93	0.88	11.93	0.00	0.00	13.51	0.53	0.53	0.70	1.58	1.05	0.53	2.28	0	0.00	0	0	0.00	0	0	0	1.23	0.00	1.75	570
1.170	1.18	8.53	30.26	19.46	7.81	0.00	14.63	0.14	0.14	16.48	0.43	1.14	1.28	4.40	1.70	0.85	1.28	0	0.00	0	0	0.00	0	0	0	2.41	0.28	2.84	704
1.180	1.19	8.57	26.20	19.73	8.46	0.50	17.25	0.00	0.00	17.08	0.00	0.66	1.99	3.15	2.99	0.17	1.82	0	0.00	0	0	0.00	0	0	0	2.65	0.00	2.65	603
1.190	1.20	8.62	29.48	21.63	6.96	0.30	16.74	0.00	0.00	13.78	0.89	1.33	1.78	3.70	2.22	0.15	1.04	0	0.00	0	0	0.00	0	0	0	3.11		4.00	675
1.200	1.21	8.68	23.60	26.75	10.49	0.87	16.43	0.00	0.17	13.64	0.17	0.52	0.35	2.45	1.75	1.22	1.40	0	0.00	0	0	0.17	0	0	0	0.87	0.17	1.05	572
1.210	1.22	8.75	28.81	25.12	8.17	0.31	14.18	0.00	0.15	14.95	0.31	0.77	1.08	2.62	1.69	0.77	1.08	0	0.00	0	0	0.00	0	0	0	1.85		2.16	649
1.220	1.23	8.81	31.30	22.75	6.96	0.43	12.17	0.00	0.00	15.36	0.43	1.16	2.46	3.19	2.32	0.87	0.58	0	0.00	0	0	0.00	0	0	0	3.62	0.00	4.06	690
1.230	1.24	8.88	29.29	21.55	7.28	0.76	14.26	0.00	0.00	15.63	0.30	1.52	1.52	2.58	1.82	0.61	2.88	0	0.00	0	0	0.00	0	0	0	3.03		3.34	659
1.240	1.25	8.94	29.96	22.61	6.07	0.18	11.58	0.00	0.18	19.30	0.00	0.74	1.47	1.47	3.68	0.92	1.84	0	0.00	0	0	0.00	0	0	0	2.21	0.18	2.21	544
1.250	1.26	9.01	27.62	20.68	10.34	0.28	8.92	0.00	0.00	19.97	0.42	1.13	1.56	3.68	3.26	0.28	1.84	0	0.00	0	0	0.00	0	0	0	2.69	0.00	3.12	706
1.260	1.27	9.07	25.80	26.31	6.75	0.34	14.84	0.00	0.00	15.68	0.17	1.52	2.19	2.87	1.85	0.34	1.35	0	0.00	0	0	0.00	0	0	0	3.71	0.00	3.88	593
1.270	1.28	9.14	25.75	23.98	8.27	0.14	10.98	0.00	0.54	17.89	0.27	0.54	1.63	5.01	4.07	0.27	0.54	0	0.00	0	0	0.14	0	0	0	2.17	0.54	2.44	738
1.280	1.29	9.20	25.28	29.52	7.20	0.56	12.57	0.00	0.28	16.24	0.28	0.99	1.27	1.98	1.27	0.56	1.84	0	0.00	0	0	0.14	0	0	0	2.26	0.28	2.54	708
