Sample,Sample ID,Flag,Device,Latitude,Longitude,Water depth,Ocean,Sample depth top,Sample depth bottom,Sample depth average,Author,Journal,Year,Publication doi,Resource doi,Comment,Database,Type,Count min,Count,D. anfracta,G. cavernula,G. crassaformis,G. hirsuta,G. cultrata,G. scitula,G. truncatulinoides,G. tumida,G. ungulata,G. eastropacia,G. inflata,N. dutertrei,N. incompta,N. pachyderma,P. obliquiloculata,G. conglomerata,G. hexagonus,B. pumilio,G. bulloides,G. falconensis,G. conglobatus,G. ruber ruber,G. ruber albus,T. sacculifer,G. tenellus,O. universa,B. digitata,G. siphonifera,G. calida,G. adamsi,T. quinqueloba,T. humilis,G. rubescens,S. dehiscens,C. nitida,G. glutinata,G. uvula,G. minuta,T. iota,H. pelagica,H. digitata
AR4R45,CLIMAP_0048,0,Piston,-18.68333333,87.85,1555,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,570,0,0,5,0,24,0,14,3,0,0,1,15,0,0,8,0,0,0,9,10,12,0,265,70,20,14,2,30,5,0,0,0,5,0,0,53,0,0,0,0,0
AR4R42,CLIMAP_0049,0,Piston,-14.9,70.2,4128,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,201,0,0,0,1,47,0,5,17,0,0,0,18,0,3,17,2,1,0,1,0,9,0,34,23,0,2,1,0,6,0,0,0,0,2,0,12,0,0,0,0,0
AR4R45,CLIMAP_0050,0,Piston,-17.8,62,3359,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,311,0,0,0,3,17,0,5,2,0,0,2,12,0,0,7,3,1,0,4,1,7,0,138,37,1,1,3,14,6,0,0,0,0,0,1,46,0,0,0,0,0
AR4R46,CLIMAP_0051,1,Piston,-23.93333333,73.88333333,3567,129,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, sample depth information from duplicate sample, Coordinates from a secondary source",35,1,,370,0,0,4,1,5,2,18,2,0,0,13,2,1,1,0,0,0,0,4,0,12,0,192,37,4,6,3,20,10,0,0,0,3,0,3,24,0,0,0,0,0
AR4R43,CLIMAP_0052,0,Piston,-39.83333333,75.05,3794,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,508,0,0,0,8,0,6,33,0,0,0,144,5,98,12,0,0,0,0,54,34,0,0,37,3,1,15,1,3,7,0,5,0,0,0,0,37,0,0,0,0,0
ELT44.27-PC,CLIMAP_0053,1,Piston,-53.038,119.735,3542,257,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"coordinates corrected via depth control, sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",97,1,,408,0,0,1,0,0,0,2,0,0,0,45,0,3,232,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0
ELT45.27-PC,CLIMAP_0054,0,Piston,-43.308,105.548,3823,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,300,0,0,0,0,0,1,13,0,0,0,38,0,17,50,0,0,0,0,157,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,11,0,0,0,0,0
ELT45.70-PC,CLIMAP_0055,0,Piston,-48.008,114.478,3726,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,556,0,0,0,0,0,0,29,0,0,0,87,0,31,93,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,28,0,0,1,0,0
ELT45.73-PC,CLIMAP_0056,0,Piston,-47.533,114.423,3768,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,483,0,0,0,0,0,2,21,0,0,0,66,0,52,88,0,0,0,0,221,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,21,0,0,0,0,0
ELT45.77-PC,CLIMAP_0057,1,Piston,-46.448,114.417,3854,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",65,1,,494,0,0,0,0,0,0,41,0,0,0,93,0,33,54,4,0,0,0,251,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
ELT45.78-PC,CLIMAP_0058,0,Piston,-45.037,114.348,4084,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,300,0,0,1,0,0,1,4,0,0,0,52,0,14,43,0,0,0,0,155,0,0,0,0,0,0,1,0,0,0,0,17,1,0,0,0,11,0,0,0,0,0
ELT45.81-PC,CLIMAP_0059,1,Piston,-43.953,114.368,4318,129,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. ruber group abundances moved to G. ruber white, G. ruber pink set to 0, T. sacculifer subspecies set to N/A, sample depth information from duplicate sample, G. ruber pink and G. ruber white set to N/A",65,1,,519,0,0,0,0,0,8,40,0,0,0,153,0,59,23,0,0,0,0,196,0,0,0,2,0,0,23,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0
ELT48.3-PC,CLIMAP_0060,0,Piston,-41.02,100.012,3982,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,300,0,0,0,0,0,0,4,0,0,0,41,0,14,21,0,0,0,0,174,1,0,0,0,0,0,1,0,0,0,0,24,2,0,0,0,18,0,0,0,0,0
ELT48.23-PC,CLIMAP_0061,0,Piston,-39.515,83.723,3551,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,300,0,0,0,0,0,0,11,0,0,0,23,0,63,14,0,0,0,0,115,1,0,0,0,0,0,1,1,0,0,0,47,1,0,0,0,23,0,0,0,0,0
ELT49.22-PC,CLIMAP_0062,0,Piston,-45.022,95.082,2734,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,381,0,0,0,0,0,0,20,0,0,0,64,0,61,49,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,53,0,0,0,0,0
ELT49.23-PC,CLIMAP_0063,0,Piston,-47.128,95.08,3285,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,350,0,0,0,1,0,0,14,0,0,0,54,0,16,74,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,28,0,0,0,0,0
ELT49.24-PC,CLIMAP_0064,0,Piston,-47.988,95.037,3240,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,299,0,0,0,0,0,0,8,0,0,0,33,0,14,76,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,35,0,0,0,0,0
ELT49.25-PC,CLIMAP_0065,0,Piston,-49.378,94.832,3366,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,298,0,0,0,0,0,1,7,0,0,0,54,0,12,78,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
KM1-41,CLIMAP_0066,0,Grab,24.5,-16.95,1530,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,526,0,0,2,0,0,0,21,0,0,0,90,0,179,2,11,0,0,0,63,21,0,5,50,32,1,1,0,2,11,0,3,2,1,0,0,16,0,0,0,0,0
RC8-106,CLIMAP_0068,0,Piston,14,-74.88,3904,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,301,0,0,1,0,23,0,2,12,0,0,1,67,2,0,11,0,0,0,0,1,4,12,64,52,0,16,1,10,0,0,0,0,0,2,1,19,0,0,0,0,0
RC8-40,CLIMAP_0069,1,Piston,-43.78,46.2,2540,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. ruber group abundances moved to G. ruber white, G. ruber pink set to 0, T. sacculifer subspecies set to N/A, G. ruber pink and G. ruber white set to N/A",1,1,,231,0,0,0,0,0,0,2,0,0,0,24,0,53,41,0,0,0,0,85,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,17,0,0,0,0,0
RC8-41,CLIMAP_0070,0,Piston,-43.63,51.267,2897,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,386,0,0,0,0,0,0,2,0,0,0,88,0,3,163,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
RC8-46,CLIMAP_0071,0,Piston,-55.33,65.467,2761,257,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",1,1,,335,0,0,0,0,0,0,0,0,0,0,0,0,57,264,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
RC8-50,CLIMAP_0072,0,Piston,-44.77,92.417,3219,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,369,0,0,0,0,0,0,13,0,0,0,58,6,72,24,0,0,0,0,141,2,0,0,1,0,0,0,1,1,0,0,11,0,0,0,0,39,0,0,0,0,0
RC8-53,CLIMAP_0073,0,Piston,-39.38,104.37,4429,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,239,0,0,0,0,0,1,23,0,0,0,81,1,33,4,0,0,0,0,63,11,0,0,4,0,0,6,0,1,4,0,3,0,0,0,0,3,0,0,0,0,0
RC8-60,CLIMAP_0074,0,Piston,-36.75,120.9,5351,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,286,0,0,0,0,1,12,10,0,0,0,34,14,48,6,0,0,0,0,32,10,0,0,15,2,1,0,2,1,0,0,7,0,4,0,0,73,0,0,0,0,0
RC8-61,CLIMAP_0075,0,Piston,-46.53,125.57,4254,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,411,0,0,0,0,0,0,37,0,0,0,96,0,38,35,0,0,0,0,179,5,0,0,0,0,0,6,2,0,0,0,6,0,0,0,0,5,0,0,0,0,0
RC8-62,CLIMAP_0076,0,Piston,-49.33,127.12,3875,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,275,0,0,0,0,0,0,12,0,0,0,38,0,44,20,0,0,0,0,110,6,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,27,0,0,0,0,0
RC8-63,CLIMAP_0077,0,Piston,-51.08,129.97,3442,257,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,302,0,0,0,0,0,1,5,0,0,0,26,2,80,59,0,0,0,0,101,2,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,11,0,0,0,0,0
RC9-139,CLIMAP_0078,0,Piston,-47.77,123.1,4158,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,392,0,0,0,0,0,0,24,0,0,0,81,0,13,26,0,0,0,0,238,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
RC9-140,CLIMAP_0079,0,Piston,-45.42,121.12,4400,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,363,0,0,0,1,0,0,19,0,0,0,65,0,11,20,0,0,0,0,225,8,0,0,0,0,0,0,0,0,3,0,4,0,0,0,6,0,0,0,0,0,0
RC9-143,CLIMAP_0080,0,Piston,-41.37,114.13,4396,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,235,0,0,0,2,0,0,14,0,0,0,80,0,10,1,0,0,0,0,117,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
RC9-160,CLIMAP_0081,0,Piston,12.05,63.15,4268,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,33,1,,323,0,0,1,0,58,0,2,0,0,0,0,38,0,0,39,0,2,0,26,0,7,0,73,35,0,2,2,3,3,0,0,0,0,2,0,30,0,0,0,0,0
RC9-163,CLIMAP_0082,0,Piston,17.883,58.083,3005,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",1,1,,320,0,0,0,0,7,0,0,0,0,0,0,8,4,1,0,0,2,0,109,26,0,0,19,4,4,1,1,6,3,0,4,0,8,0,0,100,0,0,0,0,0
RC9-222,CLIMAP_0084,0,Piston,45.1,-10.57,4903,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",1,1,,336,0,0,0,1,0,2,0,0,0,0,62,0,132,4,0,0,0,0,25,2,0,0,2,0,0,59,4,7,1,0,0,0,0,0,0,25,0,0,0,0,0
RC9-225,CLIMAP_0085,0,Piston,54.983,-15.4,2334,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,324,0,0,0,0,0,7,1,0,0,0,21,1,130,2,0,0,0,0,61,3,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,67,0,0,0,0,0
RC9-61,CLIMAP_0086,1,Piston,10.183,-77.22,3191,7,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,524,0,0,3,0,33,1,2,5,0,0,0,54,0,0,7,0,0,0,0,0,9,37,182,116,1,7,3,21,6,0,0,0,2,4,0,23,0,0,0,0,0
RC9-61,CLIMAP_0087,1,Piston,10.183,-77.22,3191,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,G. conglomerata abundances moved to unidentified,1,1,,286,0,0,0,0,1,0,4,15,0,0,0,24,2,0,5,0,0,0,2,0,1,32,83,54,1,9,0,18,2,0,0,0,4,0,0,27,0,0,0,0,0
RC10-22,CLIMAP_0088,0,Piston,21.3,-69.67,3832,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,519,0,0,2,0,0,2,12,0,0,0,2,2,0,0,0,0,0,0,0,2,6,84,221,33,17,6,0,22,7,0,0,2,11,0,0,72,0,0,0,0,0
