Sample,Sample ID,Flag,Device,Latitude,Longitude,Water depth,Ocean,Sample depth top,Sample depth bottom,Sample depth average,Author,Journal,Year,Publication doi,Resource doi,Comment,Database,Type,Count min,Count,D. anfracta,G. cavernula,G. crassaformis,G. hirsuta,G. cultrata,G. scitula,G. truncatulinoides,G. tumida,G. ungulata,G. eastropacia,G. inflata,N. dutertrei,N. incompta,N. pachyderma,P. obliquiloculata,G. conglomerata,G. hexagonus,B. pumilio,G. bulloides,G. falconensis,G. conglobatus,G. ruber ruber,G. ruber albus,T. sacculifer,G. tenellus,O. universa,B. digitata,G. siphonifera,G. calida,G. adamsi,T. quinqueloba,T. humilis,G. rubescens,S. dehiscens,C. nitida,G. glutinata,G. uvula,G. minuta,T. iota,H. pelagica,H. digitata
AR1-144,CLIMAP_0030,1,Piston,-25.41666667,70.4,3166,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. ruber pink abundances moved to unidentified, Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,369,0,0,0,0.005420054,0.010840108,0.01897019,0.08401084,0,0,0,0.037940379,0,0,0.002710027,0.002710027,0,0,0,0.013550136,0.010840108,0.010840108,0,0.43902439,0.086720867,0.016260163,0.013550136,0.008130081,0.089430894,0.005420054,0,0,0,0.016260163,0,0.008130081,0.100271003,0,0,0,0,0
AR2-113,CLIMAP_0041,0,Piston,-10.35,58.51666667,3553,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies corrected, Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,271,0,0,0,0,0.014760148,0.007380074,0,0,0,0,0,0.110701107,0,0,0.033210332,0.011070111,0.033210332,0,0.051660517,0.007380074,0.011070111,0,0.265682657,0.147601476,0,0.025830258,0.007380074,0.062730627,0.018450185,0,0,0,0,0,0,0.184501845,0,0,0,0,0
AR2-117,CLIMAP_0042,0,Piston,-13.68333333,59.68333333,3922,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,225,0,0,0,0.004444444,0.017777778,0.004444444,0.004444444,0.004444444,0,0,0,0.08,0,0,0.066666667,0,0.013333333,0,0.035555556,0.004444444,0.008888889,0,0.288888889,0.142222222,0,0.013333333,0.022222222,0.071111111,0.022222222,0,0,0,0,0.004444444,0.004444444,0.186666667,0,0,0,0,0
AR2-128,CLIMAP_0043,0,Piston,-44.63333333,70.96666667,3565,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"T. sacculifer subspecies set to N/A, Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,260,0,0,0,0.003846154,0,0,0.038461538,0,0,0,0.223076923,0,0.134615385,0.246153846,0,0,0,0,0.303846154,0.003846154,0,0,0,0,0,0,0,0.003846154,0,0,0.003846154,0,0,0,0,0.034615385,0,0,0,0,0
AR2-136,CLIMAP_0044,0,Piston,-31.51666667,114.3833333,3903,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,336,0,0,0,0.005952381,0.0625,0.011904762,0.014880952,0.008928571,0,0,0.18452381,0.154761905,0.005952381,0,0.00297619,0,0,0,0.029761905,0.047619048,0.008928571,0,0.217261905,0.053571429,0.005952381,0,0.005952381,0.00297619,0.011904762,0,0,0,0,0,0,0.160714286,0,0,0,0,0
AR3R35,CLIMAP_0046,0,Piston,-39.73333333,67.88333333,4157,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"T. sacculifer subspecies set to N/A, Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,211,0,0,0,0.004739336,0,0.004739336,0.042654028,0,0,0,0.388625592,0,0.308056872,0.018957346,0,0,0,0,0.146919431,0.028436019,0,0,0.018957346,0,0,0,0,0.004739336,0,0,0,0,0,0,0,0.018957346,0,0,0,0,0
AR3R38,CLIMAP_0047,0,Piston,-31.26666667,113.9333333,4911,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,368,0,0,0,0.008152174,0.032608696,0,0.029891304,0.008152174,0,0,0.524456522,0.14673913,0.010869565,0,0.002717391,0,0.002717391,0,0.016304348,0.027173913,0,0,0.089673913,0.016304348,0.002717391,0.002717391,0,0.002717391,0.002717391,0,0.002717391,0,0,0,0,0,0,0,0.067934783,0,0
AR4R45,CLIMAP_0048,0,Piston,-18.68333333,87.85,1555,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,570,0,0,0.00877193,0,0.042105263,0,0.024561404,0.005263158,0,0,0.001754386,0.026315789,0,0,0.014035088,0,0,0,0.015789474,0.01754386,0.021052632,0,0.464912281,0.122807018,0.035087719,0.024561404,0.003508772,0.052631579,0.00877193,0,0,0,0.00877193,0,0,0.092982456,0,0,0,0,0
AR4R42,CLIMAP_0049,0,Piston,-14.9,70.2,4128,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,201,0,0,0,0.004975124,0.233830846,0,0.024875622,0.084577114,0,0,0,0.089552239,0,0.014925373,0.084577114,0.009950249,0.004975124,0,0.004975124,0,0.044776119,0,0.169154229,0.114427861,0,0.009950249,0.004975124,0,0.029850746,0,0,0,0,0.009950249,0,0.059701493,0,0,0,0,0
AR4R45,CLIMAP_0050,0,Piston,-17.8,62,3359,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,311,0,0,0,0.009646302,0.054662379,0,0.01607717,0.006430868,0,0,0.006430868,0.038585209,0,0,0.022508039,0.009646302,0.003215434,0,0.012861736,0.003215434,0.022508039,0,0.443729904,0.118971061,0.003215434,0.003215434,0.009646302,0.045016077,0.019292605,0,0,0,0,0,0.003215434,0.147909968,0,0,0,0,0
AR4R46,CLIMAP_0051,1,Piston,-23.93333333,73.88333333,3567,129,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, sample depth information from duplicate sample, Coordinates from a secondary source",35,1,,370,0,0,0.010810811,0.002702703,0.013513514,0.005405405,0.048648649,0.005405405,0,0,0.035135135,0.005405405,0.002702703,0.002702703,0,0,0,0,0.010810811,0,0.032432432,0,0.518918919,0.1,0.010810811,0.016216216,0.008108108,0.054054054,0.027027027,0,0,0,0.008108108,0,0.008108108,0.064864865,0,0,0,0,0
AR4R43,CLIMAP_0052,0,Piston,-39.83333333,75.05,3794,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,508,0,0,0,0.015748031,0,0.011811024,0.06496063,0,0,0,0.283464567,0.00984252,0.192913386,0.023622047,0,0,0,0,0.106299213,0.066929134,0,0,0.072834646,0.005905512,0.001968504,0.029527559,0.001968504,0.005905512,0.013779528,0,0.00984252,0,0,0,0,0.072834646,0,0,0,0,0
ELT44.27-PC,CLIMAP_0053,1,Piston,-53.038,119.735,3542,257,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"coordinates corrected via depth control, sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",97,1,,408,0,0,0.00245098,0,0,0,0.004901961,0,0,0,0.110294118,0,0.007352941,0.568627451,0,0,0,0,0.272058824,0,0,0,0,0,0,0,0,0,0,0,0.004901961,0,0,0,0,0.022058824,0,0,0,0,0
ELT45.27-PC,CLIMAP_0054,0,Piston,-43.308,105.548,3823,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,300,0,0,0,0,0,0.003333333,0.043333333,0,0,0,0.126666667,0,0.056666667,0.166666667,0,0,0,0,0.523333333,0,0,0,0,0,0,0,0.003333333,0,0,0,0.04,0,0,0,0,0.036666667,0,0,0,0,0
ELT45.70-PC,CLIMAP_0055,0,Piston,-48.008,114.478,3726,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,556,0,0,0,0,0,0,0.052158273,0,0,0,0.15647482,0,0.055755396,0.167266187,0,0,0,0,0.494604317,0,0,0,0,0,0,0,0,0,0,0,0.019784173,0,0,0,0,0.050359712,0,0,0.001798561,0,0
ELT45.73-PC,CLIMAP_0056,0,Piston,-47.533,114.423,3768,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,483,0,0,0,0,0,0.004140787,0.043478261,0,0,0,0.136645963,0,0.107660455,0.182194617,0,0,0,0,0.457556936,0,0,0,0,0,0,0.004140787,0,0,0,0,0.01863354,0,0,0,0,0.043478261,0,0,0,0,0
ELT45.77-PC,CLIMAP_0057,1,Piston,-46.448,114.417,3854,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",65,1,,494,0,0,0,0,0,0,0.082995951,0,0,0,0.188259109,0,0.066801619,0.109311741,0.008097166,0,0,0,0.508097166,0,0,0,0,0,0,0.01417004,0,0,0,0,0,0,0,0,0,0.018218623,0,0,0,0,0
ELT45.78-PC,CLIMAP_0058,0,Piston,-45.037,114.348,4084,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,300,0,0,0.003333333,0,0,0.003333333,0.013333333,0,0,0,0.173333333,0,0.046666667,0.143333333,0,0,0,0,0.516666667,0,0,0,0,0,0,0.003333333,0,0,0,0,0.056666667,0.003333333,0,0,0,0.036666667,0,0,0,0,0
ELT45.81-PC,CLIMAP_0059,1,Piston,-43.953,114.368,4318,129,0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. ruber group abundances moved to G. ruber white, G. ruber pink set to 0, T. sacculifer subspecies set to N/A, sample depth information from duplicate sample, G. ruber pink and G. ruber white set to N/A",65,1,,519,0,0,0,0,0,0.015414258,0.077071291,0,0,0,0.294797688,0,0.113680154,0.044315992,0,0,0,0,0.377649326,0,0,0,0.003853565,0,0,0.044315992,0,0,0,0,0.005780347,0,0,0,0,0.015414258,0,0,0,0,0
ELT48.3-PC,CLIMAP_0060,0,Piston,-41.02,100.012,3982,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,300,0,0,0,0,0,0,0.013333333,0,0,0,0.136666667,0,0.046666667,0.07,0,0,0,0,0.58,0.003333333,0,0,0,0,0,0.003333333,0,0,0,0,0.08,0.006666667,0,0,0,0.06,0,0,0,0,0
ELT48.23-PC,CLIMAP_0061,0,Piston,-39.515,83.723,3551,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,300,0,0,0,0,0,0,0.036666667,0,0,0,0.076666667,0,0.21,0.046666667,0,0,0,0,0.383333333,0.003333333,0,0,0,0,0,0.003333333,0.003333333,0,0,0,0.156666667,0.003333333,0,0,0,0.076666667,0,0,0,0,0
ELT49.22-PC,CLIMAP_0062,0,Piston,-45.022,95.082,2734,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,381,0,0,0,0,0,0,0.052493438,0,0,0,0.167979003,0,0.160104987,0.128608924,0,0,0,0,0.322834646,0,0,0,0,0,0,0,0,0,0,0,0.026246719,0,0,0,0,0.139107612,0,0,0,0,0
ELT49.23-PC,CLIMAP_0063,0,Piston,-47.128,95.08,3285,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,350,0,0,0,0.002857143,0,0,0.04,0,0,0,0.154285714,0,0.045714286,0.211428571,0,0,0,0,0.422857143,0,0,0,0,0,0,0,0,0,0,0,0.034285714,0,0,0,0,0.08,0,0,0,0,0
ELT49.24-PC,CLIMAP_0064,0,Piston,-47.988,95.037,3240,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,299,0,0,0,0,0,0,0.026755853,0,0,0,0.110367893,0,0.046822742,0.254180602,0,0,0,0,0.414715719,0,0,0,0,0,0,0,0,0,0,0,0.030100334,0,0,0,0,0.117056856,0,0,0,0,0
ELT49.25-PC,CLIMAP_0065,0,Piston,-49.378,94.832,3366,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,298,0,0,0,0,0,0.003355705,0.023489933,0,0,0,0.181208054,0,0.040268456,0.261744966,0,0,0,0,0.429530201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05033557,0,0,0,0,0
KM1-41,CLIMAP_0066,0,Grab,24.5,-16.95,1530,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,526,0,0,0.003802281,0,0,0,0.039923954,0,0,0,0.171102662,0,0.340304183,0.003802281,0.020912548,0,0,0,0.119771863,0.039923954,0,0.009505703,0.095057034,0.060836502,0.001901141,0.001901141,0,0.003802281,0.020912548,0,0.005703422,0.003802281,0.001901141,0,0,0.030418251,0,0,0,0,0
RC8-106,CLIMAP_0068,0,Piston,14,-74.88,3904,7,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,301,0,0,0.003322259,0,0.07641196,0,0.006644518,0.03986711,0,0,0.003322259,0.222591362,0.006644518,0,0.03654485,0,0,0,0,0.003322259,0.013289037,0.03986711,0.212624585,0.172757475,0,0.053156146,0.003322259,0.033222591,0,0,0,0,0,0.006644518,0.003322259,0.063122924,0,0,0,0,0
RC8-40,CLIMAP_0069,1,Piston,-43.78,46.2,2540,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. ruber group abundances moved to G. ruber white, G. ruber pink set to 0, T. sacculifer subspecies set to N/A, G. ruber pink and G. ruber white set to N/A",1,1,,231,0,0,0,0,0,0,0.008658009,0,0,0,0.103896104,0,0.229437229,0.177489177,0,0,0,0,0.367965368,0.004329004,0,0,0.004329004,0,0,0,0,0,0,0,0.012987013,0,0,0,0,0.073593074,0,0,0,0,0
RC8-41,CLIMAP_0070,0,Piston,-43.63,51.267,2897,129,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,386,0,0,0,0,0,0,0.005181347,0,0,0,0.227979275,0,0.007772021,0.422279793,0,0,0,0,0.316062176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020725389,0,0,0,0,0
