Sample,Sample ID,Flag,Device,Latitude,Longitude,Water depth,Ocean,Sample depth top,Sample depth bottom,Sample depth average,Author,Journal,Year,Publication doi,Resource doi,Comment,Database,Type,Count min,Count,D. anfracta,G. cavernula,G. crassaformis,G. hirsuta,G. cultrata,G. scitula,G. truncatulinoides,G. tumida,G. ungulata,G. theyeri,G. inflata,N. dutertrei,N. incompta,N. pachyderma,P. obliquiloculata,G. conglomerata,G. hexagonus,B. pumilio,G. bulloides,G. falconensis,G. conglobatus,G. ruber ruber,G. ruber albus,T. sacculifer,G. tenellus,O. universa,B. digitata,G. siphonifera,G. calida,G. adamsi,T. quinqueloba,T. humilis,G. rubescens,S. dehiscens,C. nitida,G. glutinata,G. uvula,G. minuta,T. iota,H. pelagica,H. digitata,SST
A167-1TW,CLIMAP_0013,0,Trigger,37.65,-72.95,2706.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,458.0,0.0,0.0,0.0,3.0,30.0,0.0,3.0,3.0,0.0,0.0,139.0,29.0,180.0,6.0,8.0,0.0,0.0,0.0,14.0,2.0,13.0,0.0,5.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,18.20524024963379
A179-13,CLIMAP_0014,0,Piston,23.9333,-75.75,1847.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,367.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,191.0,12.0,33.0,5.0,0.0,22.0,5.0,0.0,0.0,0.0,11.0,0.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,26.763288497924805
A179-15,CLIMAP_0015,1,Trigger,24.8,-75.9333,3109.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,343.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,12.0,157.0,19.0,39.0,4.0,0.0,22.0,4.0,0.0,0.0,0.0,21.0,0.0,0.0,41.0,0.0,0.0,0.0,1.0,0.0,26.489473342895508
A179-20,CLIMAP_0016,0,Trigger,30.7833,-67.6667,4993.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,405.0,0.0,0.0,0.0,15.0,0.0,0.0,41.0,0.0,0.0,0.0,32.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,55.0,2.0,4.0,1.0,200.0,9.0,1.0,5.0,1.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,23.46140480041504
A179-24,CLIMAP_0017,1,Trigger,35.7667,-69.0833,4663.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,3,1,,554.0,0.0,0.0,0.0,20.0,13.0,0.0,34.0,6.0,0.0,0.0,85.0,42.0,14.0,1.0,33.0,0.0,0.0,0.0,32.0,6.0,5.0,4.0,89.0,58.0,0.0,12.0,2.0,30.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,22.06421661376953
A180-13,CLIMAP_0019,0,Piston,39.1332,-42.65,4880.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,504.0,0.0,0.0,0.0,42.0,10.0,0.0,38.0,1.0,0.0,0.0,139.0,22.0,92.0,2.0,12.0,0.0,0.0,0.0,35.0,2.0,4.0,0.0,52.0,15.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.52927017211914
A180-20,CLIMAP_0020,1,Piston,33.333,-27.367,4040.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,472.0,0.0,0.0,0.0,14.0,2.0,21.0,31.0,0.0,0.0,0.0,43.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,52.0,76.0,1.0,2.0,110.0,14.0,12.0,3.0,1.0,11.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,20.760866165161133
A180-69,CLIMAP_0021,0,Trigger,5.2833,-17.0667,5100.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,304.0,0.0,0.0,6.0,1.0,7.0,1.0,2.0,191.0,0.0,0.0,2.0,27.0,3.0,1.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,5.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,27.28523826599121
A180-70,CLIMAP_0022,0,Trigger,3.65,-18.3,4846.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,G. truncatulinoides subspecies set to N/A,1,1,,461.0,0.0,0.0,12.0,0.0,86.0,0.0,0.0,173.0,0.0,0.0,0.0,65.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,34.0,1.0,1.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26.959346771240234
A180-74,CLIMAP_0023,0,Piston,-0.05,-24.1667,3329.0,11.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,511.0,0.0,0.0,6.0,0.0,0.0,1.0,56.0,0.0,0.0,0.0,42.0,125.0,97.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,53.0,0.0,39.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,26.269718170166016
A180-76,CLIMAP_0024,0,Piston,-0.7667,-26.0333,3512.0,11.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,405.0,0.0,0.0,10.0,0.0,1.0,0.0,33.0,2.0,0.0,0.0,22.0,57.0,87.0,0.0,6.0,0.0,0.0,0.0,16.0,1.0,0.0,4.0,85.0,31.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,26.43655776977539
A181-9,CLIMAP_0026,1,Piston,20.7332,-59.2,5215.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,402.0,0.0,0.0,2.0,0.0,4.0,0.0,17.0,19.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,213.0,60.0,0.0,1.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66635513305664
AR1-119,CLIMAP_0028,0,Piston,-14.03333333,62.5,3614.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,326.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,4.0,0.0,6.0,0.0,5.0,0.0,7.0,0.0,7.0,0.0,111.0,43.0,6.0,2.0,1.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,26.278894424438477
AR1-144,CLIMAP_0030,1,Piston,-25.41666667,70.4,3166.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. ruber pink abundances moved to unidentified, Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,369.0,0.0,0.0,0.0,2.0,4.0,7.0,31.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,162.0,32.0,6.0,5.0,3.0,33.0,2.0,0.0,0.0,0.0,6.0,0.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,22.75016975402832
AR2-113,CLIMAP_0041,0,Piston,-10.35,58.51666667,3553.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies corrected, Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,271.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,9.0,3.0,9.0,0.0,14.0,2.0,3.0,0.0,72.0,40.0,0.0,7.0,2.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,27.015771865844727
AR2-117,CLIMAP_0042,0,Piston,-13.68333333,59.68333333,3922.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,225.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,15.0,0.0,3.0,0.0,8.0,1.0,2.0,0.0,65.0,32.0,0.0,3.0,5.0,16.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,26.57277488708496
AR2-128,CLIMAP_0043,0,Piston,-44.63333333,70.96666667,3565.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"T. sacculifer subspecies set to N/A, Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,260.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,58.0,0.0,35.0,64.0,0.0,0.0,0.0,0.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.64315128326416
AR2-136,CLIMAP_0044,0,Piston,-31.51666667,114.3833333,3903.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,336.0,0.0,0.0,0.0,2.0,21.0,4.0,5.0,3.0,0.0,0.0,62.0,52.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,16.0,3.0,0.0,73.0,18.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,20.031648635864258
AR3R35,CLIMAP_0046,0,Piston,-39.73333333,67.88333333,4157.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"T. sacculifer subspecies set to N/A, Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,211.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,82.0,0.0,65.0,4.0,0.0,0.0,0.0,0.0,31.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.807689666748047
AR3R38,CLIMAP_0047,0,Piston,-31.26666667,113.9333333,4911.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,368.0,0.0,0.0,0.0,3.0,12.0,0.0,11.0,3.0,0.0,0.0,193.0,54.0,4.0,0.0,1.0,0.0,1.0,0.0,6.0,10.0,0.0,0.0,33.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,19.85850715637207
AR4R45,CLIMAP_0048,0,Piston,-18.68333333,87.85,1555.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,570.0,0.0,0.0,5.0,0.0,24.0,0.0,14.0,3.0,0.0,0.0,1.0,15.0,0.0,0.0,8.0,0.0,0.0,0.0,9.0,10.0,12.0,0.0,265.0,70.0,20.0,14.0,2.0,30.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,24.82538414001465
AR4R42,CLIMAP_0049,0,Piston,-14.9,70.2,4128.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,201.0,0.0,0.0,0.0,1.0,47.0,0.0,5.0,17.0,0.0,0.0,0.0,18.0,0.0,3.0,17.0,2.0,1.0,0.0,1.0,0.0,9.0,0.0,34.0,23.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,26.313907623291016
AR4R45,CLIMAP_0050,0,Piston,-17.8,62.0,3359.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,311.0,0.0,0.0,0.0,3.0,17.0,0.0,5.0,2.0,0.0,0.0,2.0,12.0,0.0,0.0,7.0,3.0,1.0,0.0,4.0,1.0,7.0,0.0,138.0,37.0,1.0,1.0,3.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,25.6044921875
AR4R46,CLIMAP_0051,1,Piston,-23.93333333,73.88333333,3567.0,129.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, sample depth information from duplicate sample, Coordinates from a secondary source",35,1,,370.0,0.0,0.0,4.0,1.0,5.0,2.0,18.0,2.0,0.0,0.0,13.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,192.0,37.0,4.0,6.0,3.0,20.0,10.0,0.0,0.0,0.0,3.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,23.385133743286133
AR4R43,CLIMAP_0052,0,Piston,-39.83333333,75.05,3794.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,508.0,0.0,0.0,0.0,8.0,0.0,6.0,33.0,0.0,0.0,0.0,144.0,5.0,98.0,12.0,0.0,0.0,0.0,0.0,54.0,34.0,0.0,0.0,37.0,3.0,1.0,15.0,1.0,3.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,13.989341735839844
ELT44.27-PC,CLIMAP_0053,1,Piston,-53.038,119.735,3542.0,257.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"coordinates corrected via depth control, sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",97,1,,408.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,45.0,0.0,3.0,232.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.3389639854431152
ELT45.27-PC,CLIMAP_0054,0,Piston,-43.308,105.548,3823.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,300.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,38.0,0.0,17.0,50.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10.318284034729004
ELT45.70-PC,CLIMAP_0055,0,Piston,-48.008,114.478,3726.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,556.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,87.0,0.0,31.0,93.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,6.618298053741455
ELT45.73-PC,CLIMAP_0056,0,Piston,-47.533,114.423,3768.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,483.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0,66.0,0.0,52.0,88.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,7.6036295890808105
ELT45.77-PC,CLIMAP_0057,1,Piston,-46.448,114.417,3854.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",65,1,,494.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,93.0,0.0,33.0,54.0,4.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.52033805847168
ELT45.78-PC,CLIMAP_0058,0,Piston,-45.037,114.348,4084.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,300.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,52.0,0.0,14.0,43.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,9.334747314453125
ELT45.81-PC,CLIMAP_0059,1,Piston,-43.953,114.368,4318.0,129.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. ruber group abundances moved to G. ruber white, G. ruber pink set to 0, T. sacculifer subspecies set to N/A, sample depth information from duplicate sample, G. ruber pink and G. ruber white set to N/A",65,1,,519.0,0.0,0.0,0.0,0.0,0.0,8.0,40.0,0.0,0.0,0.0,153.0,0.0,59.0,23.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.628905296325684
ELT48.3-PC,CLIMAP_0060,0,Piston,-41.02,100.012,3982.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,300.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,41.0,0.0,14.0,21.0,0.0,0.0,0.0,0.0,174.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,11.479687690734863
ELT48.23-PC,CLIMAP_0061,0,Piston,-39.515,83.723,3551.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,300.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,23.0,0.0,63.0,14.0,0.0,0.0,0.0,0.0,115.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,13.47822380065918
ELT49.22-PC,CLIMAP_0062,0,Piston,-45.022,95.082,2734.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,T. sacculifer subspecies set to N/A,1,1,,381.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,64.0,0.0,61.0,49.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,8.179900169372559
