Event,Latitude,Longitude,Elevation,Depth sed,total,Species,Relative Abundance
A156-4,34.817,-74.683,-3100,7.5,100.2,G. glutinata,0
A156-4,34.817,-74.683,-3100,7.5,100.2,G. truncatulinoides,0.013
A164-24,36.483,-69,-4389,0.75,99.9,O. universa,0.013
A164-24,36.483,-69,-4389,0.75,99.9,G. conglobatus,0.019
A164-24,36.483,-69,-4389,0.75,99.9,G. ruber albus,0.103
A164-24,36.483,-69,-4389,0.75,99.9,G. tenellus,0
A164-24,36.483,-69,-4389,0.75,99.9,T. sacculifer,0.077
A164-24,36.483,-69,-4389,0.75,99.9,S. dehiscens,0
A164-24,36.483,-69,-4389,0.75,99.9,G. siphonifera,0.019
A164-24,36.483,-69,-4389,0.75,99.9,G. calida,0
A164-24,36.483,-69,-4389,0.75,99.9,G. bulloides,0.045
A164-24,36.483,-69,-4389,0.75,99.9,G. falconensis,0.006
A164-24,36.483,-69,-4389,0.75,99.9,B. digitata,0
A164-24,36.483,-69,-4389,0.75,99.9,G. rubescens,0.006
A164-24,36.483,-69,-4389,0.75,99.9,T. quinqueloba,0
A164-24,36.483,-69,-4389,0.75,99.9,N. pachyderma,0.013
A164-24,36.483,-69,-4389,0.75,99.9,N. incompta,0.064
A164-24,36.483,-69,-4389,0.75,99.9,N. dutertrei,0.147
A164-24,36.483,-69,-4389,0.75,99.9,G. conglomerata,0
A164-24,36.483,-69,-4389,0.75,99.9,G. hexagonus,0.006
A164-24,36.483,-69,-4389,0.75,99.9,P. obliquiloculata,0
A164-24,36.483,-69,-4389,0.75,99.9,G. inflata,0.365
A164-24,36.483,-69,-4389,0.75,99.9,G. crassaformis,0.006
A164-24,36.483,-69,-4389,0.75,99.9,G. hirsuta,0
A164-24,36.483,-69,-4389,0.75,99.9,G. scitula,0.071
A164-24,36.483,-69,-4389,0.75,99.9,G. glutinata,0.013
A164-24,36.483,-69,-4389,0.75,99.9,G. truncatulinoides,0.026
A164-5,37.767,-71.25,-3329,1.71,100.2,O. universa,0.003
A164-5,37.767,-71.25,-3329,1.71,100.2,G. conglobatus,0.003
A164-5,37.767,-71.25,-3329,1.71,100.2,G. ruber albus,0.074
A164-5,37.767,-71.25,-3329,1.71,100.2,G. tenellus,0.017
A164-5,37.767,-71.25,-3329,1.71,100.2,T. sacculifer,0.011
A164-5,37.767,-71.25,-3329,1.71,100.2,S. dehiscens,0
A164-5,37.767,-71.25,-3329,1.71,100.2,G. siphonifera,0.009
A164-5,37.767,-71.25,-3329,1.71,100.2,G. calida,0
A164-5,37.767,-71.25,-3329,1.71,100.2,G. bulloides,0.071
A164-5,37.767,-71.25,-3329,1.71,100.2,G. falconensis,0.003
A164-5,37.767,-71.25,-3329,1.71,100.2,B. digitata,0
A164-5,37.767,-71.25,-3329,1.71,100.2,G. rubescens,0.006
A164-5,37.767,-71.25,-3329,1.71,100.2,T. quinqueloba,0.026
A164-5,37.767,-71.25,-3329,1.71,100.2,N. pachyderma,0.154
A164-5,37.767,-71.25,-3329,1.71,100.2,N. incompta,0.109
A164-5,37.767,-71.25,-3329,1.71,100.2,N. dutertrei,0.08
A164-5,37.767,-71.25,-3329,1.71,100.2,G. conglomerata,0
A164-5,37.767,-71.25,-3329,1.71,100.2,G. hexagonus,0
A164-5,37.767,-71.25,-3329,1.71,100.2,P. obliquiloculata,0.003
A164-5,37.767,-71.25,-3329,1.71,100.2,G. inflata,0.3
A164-5,37.767,-71.25,-3329,1.71,100.2,G. crassaformis,0.003
A164-5,37.767,-71.25,-3329,1.71,100.2,G. hirsuta,0.006
A164-5,37.767,-71.25,-3329,1.71,100.2,G. scitula,0.109
A164-5,37.767,-71.25,-3329,1.71,100.2,G. glutinata,0
A164-5,37.767,-71.25,-3329,1.71,100.2,G. truncatulinoides,0.015
A164-6,38.133,-69.867,-3676,1.09,99.8,O. universa,0.016
A164-6,38.133,-69.867,-3676,1.09,99.8,G. conglobatus,0
A164-6,38.133,-69.867,-3676,1.09,99.8,G. ruber albus,0.038
A164-6,38.133,-69.867,-3676,1.09,99.8,G. tenellus,0
A164-6,38.133,-69.867,-3676,1.09,99.8,T. sacculifer,0.005
A164-6,38.133,-69.867,-3676,1.09,99.8,S. dehiscens,0
A164-6,38.133,-69.867,-3676,1.09,99.8,G. siphonifera,0.005
A164-6,38.133,-69.867,-3676,1.09,99.8,G. calida,0
A164-6,38.133,-69.867,-3676,1.09,99.8,G. bulloides,0.146
A164-6,38.133,-69.867,-3676,1.09,99.8,G. falconensis,0.005
A164-6,38.133,-69.867,-3676,1.09,99.8,B. digitata,0
A164-6,38.133,-69.867,-3676,1.09,99.8,G. rubescens,0
A164-6,38.133,-69.867,-3676,1.09,99.8,T. quinqueloba,0.011
A164-6,38.133,-69.867,-3676,1.09,99.8,N. pachyderma,0.286
A164-6,38.133,-69.867,-3676,1.09,99.8,N. incompta,0.195
A164-6,38.133,-69.867,-3676,1.09,99.8,N. dutertrei,0.032
A164-6,38.133,-69.867,-3676,1.09,99.8,G. conglomerata,0
A164-6,38.133,-69.867,-3676,1.09,99.8,G. hexagonus,0
A164-6,38.133,-69.867,-3676,1.09,99.8,P. obliquiloculata,0
A164-6,38.133,-69.867,-3676,1.09,99.8,G. inflata,0.173
A164-6,38.133,-69.867,-3676,1.09,99.8,G. crassaformis,0
A164-6,38.133,-69.867,-3676,1.09,99.8,G. hirsuta,0
A164-6,38.133,-69.867,-3676,1.09,99.8,G. scitula,0.081
A164-6,38.133,-69.867,-3676,1.09,99.8,G. glutinata,0
A164-6,38.133,-69.867,-3676,1.09,99.8,G. truncatulinoides,0.005
A164-61,39.533,-68.783,-2725,1,100.1,O. universa,0.01
A164-61,39.533,-68.783,-2725,1,100.1,G. conglobatus,0
A164-61,39.533,-68.783,-2725,1,100.1,G. ruber albus,0.043
A164-61,39.533,-68.783,-2725,1,100.1,G. tenellus,0.008
A164-61,39.533,-68.783,-2725,1,100.1,T. sacculifer,0.02
A164-61,39.533,-68.783,-2725,1,100.1,S. dehiscens,0
A164-61,39.533,-68.783,-2725,1,100.1,G. siphonifera,0.008
A164-61,39.533,-68.783,-2725,1,100.1,G. calida,0
A164-61,39.533,-68.783,-2725,1,100.1,G. bulloides,0.143
A164-61,39.533,-68.783,-2725,1,100.1,G. falconensis,0.01
A164-61,39.533,-68.783,-2725,1,100.1,B. digitata,0
A164-61,39.533,-68.783,-2725,1,100.1,G. rubescens,0.015
A164-61,39.533,-68.783,-2725,1,100.1,T. quinqueloba,0.033
A164-61,39.533,-68.783,-2725,1,100.1,N. pachyderma,0.133
A164-61,39.533,-68.783,-2725,1,100.1,N. incompta,0.112
A164-61,39.533,-68.783,-2725,1,100.1,N. dutertrei,0.107
A164-61,39.533,-68.783,-2725,1,100.1,G. conglomerata,0
A164-61,39.533,-68.783,-2725,1,100.1,G. hexagonus,0
A164-61,39.533,-68.783,-2725,1,100.1,P. obliquiloculata,0.003
A164-61,39.533,-68.783,-2725,1,100.1,G. inflata,0.291
A164-61,39.533,-68.783,-2725,1,100.1,G. crassaformis,0
A164-61,39.533,-68.783,-2725,1,100.1,G. hirsuta,0.003
A164-61,39.533,-68.783,-2725,1,100.1,G. scitula,0.059
A164-61,39.533,-68.783,-2725,1,100.1,G. glutinata,0
A164-61,39.533,-68.783,-2725,1,100.1,G. truncatulinoides,0.003
A167-13,31.65,-75.35,-2880,1.4,100,O. universa,0.01
A167-13,31.65,-75.35,-2880,1.4,100,G. conglobatus,0.003
A167-13,31.65,-75.35,-2880,1.4,100,G. ruber albus,0.271
A167-13,31.65,-75.35,-2880,1.4,100,G. tenellus,0.019
A167-13,31.65,-75.35,-2880,1.4,100,T. sacculifer,0.025
A167-13,31.65,-75.35,-2880,1.4,100,S. dehiscens,0
A167-13,31.65,-75.35,-2880,1.4,100,G. siphonifera,0.019
A167-13,31.65,-75.35,-2880,1.4,100,G. calida,0.022
A167-13,31.65,-75.35,-2880,1.4,100,G. bulloides,0.048
A167-13,31.65,-75.35,-2880,1.4,100,G. falconensis,0.019
A167-13,31.65,-75.35,-2880,1.4,100,B. digitata,0
A167-13,31.65,-75.35,-2880,1.4,100,G. rubescens,0.016
A167-13,31.65,-75.35,-2880,1.4,100,T. quinqueloba,0
A167-13,31.65,-75.35,-2880,1.4,100,N. pachyderma,0
A167-13,31.65,-75.35,-2880,1.4,100,N. incompta,0.019
A167-13,31.65,-75.35,-2880,1.4,100,N. dutertrei,0.067
A167-13,31.65,-75.35,-2880,1.4,100,G. conglomerata,0
A167-13,31.65,-75.35,-2880,1.4,100,G. hexagonus,0
A167-13,31.65,-75.35,-2880,1.4,100,P. obliquiloculata,0
A167-13,31.65,-75.35,-2880,1.4,100,G. inflata,0.239
A167-13,31.65,-75.35,-2880,1.4,100,G. crassaformis,0.006
A167-13,31.65,-75.35,-2880,1.4,100,G. hirsuta,0.032
A167-13,31.65,-75.35,-2880,1.4,100,G. scitula,0.131
A167-13,31.65,-75.35,-2880,1.4,100,G. glutinata,0
A167-13,31.65,-75.35,-2880,1.4,100,G. truncatulinoides,0.054
A167-14,31.467,-76.467,-2633,1,99.7,O. universa,0.006
A167-14,31.467,-76.467,-2633,1,99.7,G. conglobatus,0
A167-14,31.467,-76.467,-2633,1,99.7,G. ruber albus,0.294
A167-14,31.467,-76.467,-2633,1,99.7,G. tenellus,0.04
A167-14,31.467,-76.467,-2633,1,99.7,T. sacculifer,0
A167-14,31.467,-76.467,-2633,1,99.7,S. dehiscens,0
A167-14,31.467,-76.467,-2633,1,99.7,G. siphonifera,0.025
A167-14,31.467,-76.467,-2633,1,99.7,G. calida,0.053
A167-14,31.467,-76.467,-2633,1,99.7,G. bulloides,0.037
A167-14,31.467,-76.467,-2633,1,99.7,G. falconensis,0.015
A167-14,31.467,-76.467,-2633,1,99.7,B. digitata,0.003
A167-14,31.467,-76.467,-2633,1,99.7,G. rubescens,0.015
A167-14,31.467,-76.467,-2633,1,99.7,T. quinqueloba,0
A167-14,31.467,-76.467,-2633,1,99.7,N. pachyderma,0
A167-14,31.467,-76.467,-2633,1,99.7,N. incompta,0
A167-14,31.467,-76.467,-2633,1,99.7,N. dutertrei,0.015
A167-14,31.467,-76.467,-2633,1,99.7,G. conglomerata,0
A167-14,31.467,-76.467,-2633,1,99.7,G. hexagonus,0
A167-14,31.467,-76.467,-2633,1,99.7,P. obliquiloculata,0
A167-14,31.467,-76.467,-2633,1,99.7,G. inflata,0.232
A167-14,31.467,-76.467,-2633,1,99.7,G. crassaformis,0
A167-14,31.467,-76.467,-2633,1,99.7,G. hirsuta,0.046
A167-14,31.467,-76.467,-2633,1,99.7,G. scitula,0.124
A167-14,31.467,-76.467,-2633,1,99.7,G. glutinata,0.003
A167-14,31.467,-76.467,-2633,1,99.7,G. truncatulinoides,0.089
A172-1,17.233,-73.467,,0.4,100,O. universa,0.004
A172-1,17.233,-73.467,,0.4,100,G. conglobatus,0
A172-1,17.233,-73.467,,0.4,100,G. ruber albus,0.561
A172-1,17.233,-73.467,,0.4,100,G. tenellus,0.006
A172-1,17.233,-73.467,,0.4,100,T. sacculifer,0.095
A172-1,17.233,-73.467,,0.4,100,S. dehiscens,0
A172-1,17.233,-73.467,,0.4,100,G. siphonifera,0.025
A172-1,17.233,-73.467,,0.4,100,G. calida,0
A172-1,17.233,-73.467,,0.4,100,G. bulloides,0.019
A172-1,17.233,-73.467,,0.4,100,G. falconensis,0
A172-1,17.233,-73.467,,0.4,100,B. digitata,0
A172-1,17.233,-73.467,,0.4,100,G. rubescens,0.025
A172-1,17.233,-73.467,,0.4,100,T. quinqueloba,0.004
A172-1,17.233,-73.467,,0.4,100,N. pachyderma,0
A172-1,17.233,-73.467,,0.4,100,N. incompta,0.002
A172-1,17.233,-73.467,,0.4,100,N. dutertrei,0.105
A172-1,17.233,-73.467,,0.4,100,G. conglomerata,0
A172-1,17.233,-73.467,,0.4,100,G. hexagonus,0
A172-1,17.233,-73.467,,0.4,100,P. obliquiloculata,0
A172-1,17.233,-73.467,,0.4,100,G. inflata,0.025
A172-1,17.233,-73.467,,0.4,100,G. crassaformis,0
A172-1,17.233,-73.467,,0.4,100,G. hirsuta,0.015
A172-1,17.233,-73.467,,0.4,100,G. scitula,0.088
A172-1,17.233,-73.467,,0.4,100,G. glutinata,0
A172-1,17.233,-73.467,,0.4,100,G. truncatulinoides,0.026
A172-2,16.2,-72.317,-3070,0.6,100.1,O. universa,0.002
A172-2,16.2,-72.317,-3070,0.6,100.1,G. conglobatus,0.005
A172-2,16.2,-72.317,-3070,0.6,100.1,G. ruber albus,0.441
A172-2,16.2,-72.317,-3070,0.6,100.1,G. tenellus,0.017
A172-2,16.2,-72.317,-3070,0.6,100.1,T. sacculifer,0.108
A172-2,16.2,-72.317,-3070,0.6,100.1,S. dehiscens,0
A172-2,16.2,-72.317,-3070,0.6,100.1,G. siphonifera,0.026
A172-2,16.2,-72.317,-3070,0.6,100.1,G. calida,0
A172-2,16.2,-72.317,-3070,0.6,100.1,G. bulloides,0.017
A172-2,16.2,-72.317,-3070,0.6,100.1,G. falconensis,0
A172-2,16.2,-72.317,-3070,0.6,100.1,B. digitata,0
A172-2,16.2,-72.317,-3070,0.6,100.1,G. rubescens,0.045
A172-2,16.2,-72.317,-3070,0.6,100.1,T. quinqueloba,0.005
A172-2,16.2,-72.317,-3070,0.6,100.1,N. pachyderma,0
A172-2,16.2,-72.317,-3070,0.6,100.1,N. incompta,0.005
A172-2,16.2,-72.317,-3070,0.6,100.1,N. dutertrei,0.099
A172-2,16.2,-72.317,-3070,0.6,100.1,G. conglomerata,0
A172-2,16.2,-72.317,-3070,0.6,100.1,G. hexagonus,0
A172-2,16.2,-72.317,-3070,0.6,100.1,P. obliquiloculata,0
A172-2,16.2,-72.317,-3070,0.6,100.1,G. inflata,0.085
A172-2,16.2,-72.317,-3070,0.6,100.1,G. crassaformis,0
A172-2,16.2,-72.317,-3070,0.6,100.1,G. hirsuta,0.012
A172-2,16.2,-72.317,-3070,0.6,100.1,G. scitula,0.127
A172-2,16.2,-72.317,-3070,0.6,100.1,G. glutinata,0
A172-2,16.2,-72.317,-3070,0.6,100.1,G. truncatulinoides,0.007
A173-4,33.867,-62.533,-3932,0.72,100.3,O. universa,0.003
A173-4,33.867,-62.533,-3932,0.72,100.3,G. conglobatus,0.006
A173-4,33.867,-62.533,-3932,0.72,100.3,G. ruber albus,0.092
A173-4,33.867,-62.533,-3932,0.72,100.3,G. tenellus,0.003
A173-4,33.867,-62.533,-3932,0.72,100.3,T. sacculifer,0.021
A173-4,33.867,-62.533,-3932,0.72,100.3,S. dehiscens,0
A173-4,33.867,-62.533,-3932,0.72,100.3,G. siphonifera,0
A173-4,33.867,-62.533,-3932,0.72,100.3,G. calida,0.012
A173-4,33.867,-62.533,-3932,0.72,100.3,G. bulloides,0.044
A173-4,33.867,-62.533,-3932,0.72,100.3,G. falconensis,0.015
A173-4,33.867,-62.533,-3932,0.72,100.3,B. digitata,0.003
A173-4,33.867,-62.533,-3932,0.72,100.3,G. rubescens,0
A173-4,33.867,-62.533,-3932,0.72,100.3,T. quinqueloba,0
A173-4,33.867,-62.533,-3932,0.72,100.3,N. pachyderma,0.003
A173-4,33.867,-62.533,-3932,0.72,100.3,N. incompta,0.036
A173-4,33.867,-62.533,-3932,0.72,100.3,N. dutertrei,0.104
A173-4,33.867,-62.533,-3932,0.72,100.3,G. conglomerata,0
A173-4,33.867,-62.533,-3932,0.72,100.3,G. hexagonus,0
A173-4,33.867,-62.533,-3932,0.72,100.3,P. obliquiloculata,0
A173-4,33.867,-62.533,-3932,0.72,100.3,G. inflata,0.527
A173-4,33.867,-62.533,-3932,0.72,100.3,G. crassaformis,0.006
A173-4,33.867,-62.533,-3932,0.72,100.3,G. hirsuta,0.003
A173-4,33.867,-62.533,-3932,0.72,100.3,G. scitula,0.027
A173-4,33.867,-62.533,-3932,0.72,100.3,G. glutinata,0.024
A173-4,33.867,-62.533,-3932,0.72,100.3,G. truncatulinoides,0.074
A179-15,24.8,-75.933,-3109,1.49,100,O. universa,0.009
A179-15,24.8,-75.933,-3109,1.49,100,G. conglobatus,0.005
A179-15,24.8,-75.933,-3109,1.49,100,G. ruber albus,0.487
A179-15,24.8,-75.933,-3109,1.49,100,G. tenellus,0.138
A179-15,24.8,-75.933,-3109,1.49,100,T. sacculifer,0.026
A179-15,24.8,-75.933,-3109,1.49,100,S. dehiscens,0
A179-15,24.8,-75.933,-3109,1.49,100,G. siphonifera,0.091
A179-15,24.8,-75.933,-3109,1.49,100,G. calida,0.014
A179-15,24.8,-75.933,-3109,1.49,100,G. bulloides,0.002
A179-15,24.8,-75.933,-3109,1.49,100,G. falconensis,0.007
A179-15,24.8,-75.933,-3109,1.49,100,B. digitata,0.005
A179-15,24.8,-75.933,-3109,1.49,100,G. rubescens,0.016
A179-15,24.8,-75.933,-3109,1.49,100,T. quinqueloba,0
A179-15,24.8,-75.933,-3109,1.49,100,N. pachyderma,0
A179-15,24.8,-75.933,-3109,1.49,100,N. incompta,0
A179-15,24.8,-75.933,-3109,1.49,100,N. dutertrei,0.009
A179-15,24.8,-75.933,-3109,1.49,100,G. conglomerata,0
A179-15,24.8,-75.933,-3109,1.49,100,G. hexagonus,0
A179-15,24.8,-75.933,-3109,1.49,100,P. obliquiloculata,0
A179-15,24.8,-75.933,-3109,1.49,100,G. inflata,0.023
A179-15,24.8,-75.933,-3109,1.49,100,G. crassaformis,0
A179-15,24.8,-75.933,-3109,1.49,100,G. hirsuta,0
A179-15,24.8,-75.933,-3109,1.49,100,G. scitula,0.119
A179-15,24.8,-75.933,-3109,1.49,100,G. glutinata,0
A179-15,24.8,-75.933,-3109,1.49,100,G. truncatulinoides,0.049
A179-15,24.8,-75.933,-3109,1.62,100.4,O. universa,0.009
A179-15,24.8,-75.933,-3109,1.62,100.4,G. conglobatus,0.006
A179-15,24.8,-75.933,-3109,1.62,100.4,G. ruber albus,0.529
A179-15,24.8,-75.933,-3109,1.62,100.4,G. tenellus,0.109
A179-15,24.8,-75.933,-3109,1.62,100.4,T. sacculifer,0.047
A179-15,24.8,-75.933,-3109,1.62,100.4,S. dehiscens,0
A179-15,24.8,-75.933,-3109,1.62,100.4,G. siphonifera,0.035
A179-15,24.8,-75.933,-3109,1.62,100.4,G. calida,0.003
A179-15,24.8,-75.933,-3109,1.62,100.4,G. bulloides,0.005
A179-15,24.8,-75.933,-3109,1.62,100.4,G. falconensis,0.015
A179-15,24.8,-75.933,-3109,1.62,100.4,B. digitata,0
A179-15,24.8,-75.933,-3109,1.62,100.4,G. rubescens,0.017
A179-15,24.8,-75.933,-3109,1.62,100.4,T. quinqueloba,0
A179-15,24.8,-75.933,-3109,1.62,100.4,N. pachyderma,0
A179-15,24.8,-75.933,-3109,1.62,100.4,N. incompta,0
A179-15,24.8,-75.933,-3109,1.62,100.4,N. dutertrei,0.02
A179-15,24.8,-75.933,-3109,1.62,100.4,G. conglomerata,0
A179-15,24.8,-75.933,-3109,1.62,100.4,G. hexagonus,0
A179-15,24.8,-75.933,-3109,1.62,100.4,P. obliquiloculata,0
A179-15,24.8,-75.933,-3109,1.62,100.4,G. inflata,0.029
A179-15,24.8,-75.933,-3109,1.62,100.4,G. crassaformis,0.008
A179-15,24.8,-75.933,-3109,1.62,100.4,G. hirsuta,0.011
A179-15,24.8,-75.933,-3109,1.62,100.4,G. scitula,0.127
A179-15,24.8,-75.933,-3109,1.62,100.4,G. glutinata,0
A179-15,24.8,-75.933,-3109,1.62,100.4,G. truncatulinoides,0.034
A180-15,39.267,-36.7,-4610,0.6,99.4,O. universa,0.004
A180-15,39.267,-36.7,-4610,0.6,99.4,G. conglobatus,0
A180-15,39.267,-36.7,-4610,0.6,99.4,G. ruber albus,0.103
A180-15,39.267,-36.7,-4610,0.6,99.4,G. tenellus,0
A180-15,39.267,-36.7,-4610,0.6,99.4,T. sacculifer,0.007
A180-15,39.267,-36.7,-4610,0.6,99.4,S. dehiscens,0
A180-15,39.267,-36.7,-4610,0.6,99.4,G. siphonifera,0.003
A180-15,39.267,-36.7,-4610,0.6,99.4,G. calida,0
A180-15,39.267,-36.7,-4610,0.6,99.4,G. bulloides,0.096
A180-15,39.267,-36.7,-4610,0.6,99.4,G. falconensis,0.01
A180-15,39.267,-36.7,-4610,0.6,99.4,B. digitata,0
A180-15,39.267,-36.7,-4610,0.6,99.4,G. rubescens,0.003
A180-15,39.267,-36.7,-4610,0.6,99.4,T. quinqueloba,0.007
A180-15,39.267,-36.7,-4610,0.6,99.4,N. pachyderma,0.063
A180-15,39.267,-36.7,-4610,0.6,99.4,N. incompta,0.163
A180-15,39.267,-36.7,-4610,0.6,99.4,N. dutertrei,0.121
A180-15,39.267,-36.7,-4610,0.6,99.4,G. conglomerata,0
A180-15,39.267,-36.7,-4610,0.6,99.4,G. hexagonus,0
A180-15,39.267,-36.7,-4610,0.6,99.4,P. obliquiloculata,0
A180-15,39.267,-36.7,-4610,0.6,99.4,G. inflata,0.331
A180-15,39.267,-36.7,-4610,0.6,99.4,G. crassaformis,0
A180-15,39.267,-36.7,-4610,0.6,99.4,G. hirsuta,0.013
A180-15,39.267,-36.7,-4610,0.6,99.4,G. scitula,0.049
A180-15,39.267,-36.7,-4610,0.6,99.4,G. glutinata,0.013
A180-15,39.267,-36.7,-4610,0.6,99.4,G. truncatulinoides,0.008
A180-16,38.35,-32.483,-2268,0.7,99.8,O. universa,0
A180-16,38.35,-32.483,-2268,0.7,99.8,G. conglobatus,0
A180-16,38.35,-32.483,-2268,0.7,99.8,G. ruber albus,0.044
A180-16,38.35,-32.483,-2268,0.7,99.8,G. tenellus,0.003
A180-16,38.35,-32.483,-2268,0.7,99.8,T. sacculifer,0.006
A180-16,38.35,-32.483,-2268,0.7,99.8,S. dehiscens,0
A180-16,38.35,-32.483,-2268,0.7,99.8,G. siphonifera,0.003
A180-16,38.35,-32.483,-2268,0.7,99.8,G. calida,0.003
A180-16,38.35,-32.483,-2268,0.7,99.8,G. bulloides,0.172
A180-16,38.35,-32.483,-2268,0.7,99.8,G. falconensis,0.041
A180-16,38.35,-32.483,-2268,0.7,99.8,B. digitata,0
A180-16,38.35,-32.483,-2268,0.7,99.8,G. rubescens,0.009
A180-16,38.35,-32.483,-2268,0.7,99.8,T. quinqueloba,0.103
A180-16,38.35,-32.483,-2268,0.7,99.8,N. pachyderma,0.009
A180-16,38.35,-32.483,-2268,0.7,99.8,N. incompta,0.138
A180-16,38.35,-32.483,-2268,0.7,99.8,N. dutertrei,0.066
A180-16,38.35,-32.483,-2268,0.7,99.8,G. conglomerata,0
A180-16,38.35,-32.483,-2268,0.7,99.8,G. hexagonus,0
A180-16,38.35,-32.483,-2268,0.7,99.8,P. obliquiloculata,0
A180-16,38.35,-32.483,-2268,0.7,99.8,G. inflata,0.141
A180-16,38.35,-32.483,-2268,0.7,99.8,G. crassaformis,0
A180-16,38.35,-32.483,-2268,0.7,99.8,G. hirsuta,0.085
A180-16,38.35,-32.483,-2268,0.7,99.8,G. scitula,0.163
A180-16,38.35,-32.483,-2268,0.7,99.8,G. glutinata,0
A180-16,38.35,-32.483,-2268,0.7,99.8,G. truncatulinoides,0.012
A180-32,29.117,-26.25,-5200,0.6,100.3,O. universa,0
A180-32,29.117,-26.25,-5200,0.6,100.3,G. conglobatus,0.003
A180-32,29.117,-26.25,-5200,0.6,100.3,G. ruber albus,0.355
A180-32,29.117,-26.25,-5200,0.6,100.3,G. tenellus,0.018
A180-32,29.117,-26.25,-5200,0.6,100.3,T. sacculifer,0.015
A180-32,29.117,-26.25,-5200,0.6,100.3,S. dehiscens,0
A180-32,29.117,-26.25,-5200,0.6,100.3,G. siphonifera,0.018
A180-32,29.117,-26.25,-5200,0.6,100.3,G. calida,0.006
A180-32,29.117,-26.25,-5200,0.6,100.3,G. bulloides,0.021
A180-32,29.117,-26.25,-5200,0.6,100.3,G. falconensis,0.121
A180-32,29.117,-26.25,-5200,0.6,100.3,B. digitata,0.003
A180-32,29.117,-26.25,-5200,0.6,100.3,G. rubescens,0.006
A180-32,29.117,-26.25,-5200,0.6,100.3,T. quinqueloba,0
A180-32,29.117,-26.25,-5200,0.6,100.3,N. pachyderma,0.006
