Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
44.36,-26.543333,0.665,G. crassaformis,0
44.36,-26.543333,0.665,S. dehiscens,0
44.36,-26.543333,0.665,B. digitata,0
44.36,-26.543333,0.665,N. dutertrei,0
44.36,-26.543333,0.665,G. falconensis,0
44.36,-26.543333,0.665,G. glutinata,9
44.36,-26.543333,0.665,G. hirsuta,0
44.36,-26.543333,0.665,T. humilis,0
44.36,-26.543333,0.665,G. inflata,10
44.36,-26.543333,0.665,G. cultrata,0
44.36,-26.543333,0.665,C. nitida,0
44.36,-26.543333,0.665,P. obliquiloculata,0
44.36,-26.543333,0.665,N. pachyderma,242
44.36,-26.543333,0.665,T. quinqueloba,79
44.36,-26.543333,0.665,G. ruber ruber,0
44.36,-26.543333,0.665,G. ruber albus,0
44.36,-26.543333,0.665,G. rubescens,0
44.36,-26.543333,0.665,G. scitula,14
44.36,-26.543333,0.665,G. tenellus,0
44.36,-26.543333,0.665,G. truncatulinoides,0
44.36,-26.543333,0.665,G. tumida,0
44.36,-26.543333,0.665,O. universa,0
44.36,-26.543333,0.665,G. uvula,0
44.36,-26.543333,0.665,N. incompta,26
44.36,-26.543333,0.665,T. sacculifer,0
44.36,-26.543333,0.685,Age [ka BP],22.08
44.36,-26.543333,0.685,G. eastropacia,0
44.36,-26.543333,0.685,G. bulloides,51
44.36,-26.543333,0.685,G. calida,0
44.36,-26.543333,0.685,G. cavernula,0
44.36,-26.543333,0.685,G. conglobatus,0
44.36,-26.543333,0.685,G. crassaformis,0
44.36,-26.543333,0.685,S. dehiscens,0
44.36,-26.543333,0.685,B. digitata,0
44.36,-26.543333,0.685,N. dutertrei,0
44.36,-26.543333,0.685,G. falconensis,2
44.36,-26.543333,0.685,G. glutinata,4
44.36,-26.543333,0.685,G. hirsuta,0
44.36,-26.543333,0.685,T. humilis,0
44.36,-26.543333,0.685,G. inflata,9
44.36,-26.543333,0.685,G. cultrata,0
44.36,-26.543333,0.685,C. nitida,0
44.36,-26.543333,0.685,P. obliquiloculata,0
44.36,-26.543333,0.685,N. pachyderma,160
44.36,-26.543333,0.685,T. quinqueloba,69
44.36,-26.543333,0.685,G. ruber ruber,0
44.36,-26.543333,0.685,G. ruber albus,3
44.36,-26.543333,0.685,G. rubescens,0
44.36,-26.543333,0.685,G. scitula,13
44.36,-26.543333,0.685,G. tenellus,0
44.36,-26.543333,0.685,G. truncatulinoides,0
44.36,-26.543333,0.685,G. tumida,0
44.36,-26.543333,0.685,O. universa,0
44.36,-26.543333,0.685,G. uvula,0
44.36,-26.543333,0.685,N. incompta,26
44.36,-26.543333,0.685,T. sacculifer,0
44.36,-26.543333,0.705,Age [ka BP],22.6
44.36,-26.543333,0.705,G. eastropacia,0
44.36,-26.543333,0.705,G. bulloides,78
44.36,-26.543333,0.705,G. calida,0
44.36,-26.543333,0.705,G. cavernula,0
44.36,-26.543333,0.705,G. conglobatus,0
44.36,-26.543333,0.705,G. crassaformis,0
44.36,-26.543333,0.705,S. dehiscens,0
44.36,-26.543333,0.705,B. digitata,0
44.36,-26.543333,0.705,N. dutertrei,0
44.36,-26.543333,0.705,G. falconensis,0
44.36,-26.543333,0.705,G. glutinata,14
44.36,-26.543333,0.705,G. hirsuta,0
44.36,-26.543333,0.705,T. humilis,0
44.36,-26.543333,0.705,G. inflata,22
44.36,-26.543333,0.705,G. cultrata,0
44.36,-26.543333,0.705,C. nitida,0
44.36,-26.543333,0.705,P. obliquiloculata,0
44.36,-26.543333,0.705,N. pachyderma,186
44.36,-26.543333,0.705,T. quinqueloba,86
44.36,-26.543333,0.705,G. ruber ruber,0
44.36,-26.543333,0.705,G. ruber albus,0
44.36,-26.543333,0.705,G. rubescens,3
44.36,-26.543333,0.705,G. scitula,11
44.36,-26.543333,0.705,G. tenellus,0
44.36,-26.543333,0.705,G. truncatulinoides,0
44.36,-26.543333,0.705,G. tumida,0
44.36,-26.543333,0.705,O. universa,0
44.36,-26.543333,0.705,G. uvula,0
44.36,-26.543333,0.705,N. incompta,30
44.36,-26.543333,0.705,T. sacculifer,0
44.36,-26.543333,0.725,Age [ka BP],23.13
44.36,-26.543333,0.725,G. eastropacia,0
44.36,-26.543333,0.725,G. bulloides,69
44.36,-26.543333,0.725,G. calida,0
44.36,-26.543333,0.725,G. cavernula,0
44.36,-26.543333,0.725,G. conglobatus,0
44.36,-26.543333,0.725,G. crassaformis,0
44.36,-26.543333,0.725,S. dehiscens,0
44.36,-26.543333,0.725,B. digitata,0
44.36,-26.543333,0.725,N. dutertrei,1
44.36,-26.543333,0.725,G. falconensis,3
44.36,-26.543333,0.725,G. glutinata,15
44.36,-26.543333,0.725,G. hirsuta,0
44.36,-26.543333,0.725,T. humilis,0
44.36,-26.543333,0.725,G. inflata,16
44.36,-26.543333,0.725,G. cultrata,0
44.36,-26.543333,0.725,C. nitida,0
44.36,-26.543333,0.725,P. obliquiloculata,0
44.36,-26.543333,0.725,N. pachyderma,146
44.36,-26.543333,0.725,T. quinqueloba,84
44.36,-26.543333,0.725,G. ruber ruber,0
44.36,-26.543333,0.725,G. ruber albus,1
44.36,-26.543333,0.725,G. rubescens,0
44.36,-26.543333,0.725,G. scitula,9
44.36,-26.543333,0.725,G. tenellus,0
44.36,-26.543333,0.725,G. truncatulinoides,0
44.36,-26.543333,0.725,G. tumida,0
44.36,-26.543333,0.725,O. universa,0
44.36,-26.543333,0.725,G. uvula,0
44.36,-26.543333,0.725,N. incompta,43
44.36,-26.543333,0.725,T. sacculifer,0
